,dates,Rt,ci1,ci2,ci3,ci4
1,2020-01-10,3,0.371949476573158,2.34640312988157,0.771764492745154,1.43750586902723
2,2020-01-11,3,0.361250977609087,2.27891280381468,0.749565989598405,1.39615843874631
3,2020-01-12,3,0.485524041436882,2.57290091883329,0.930347853030559,1.63672718971363
4,2020-01-13,3,0.757260019706883,3.16220211918653,1.30588969891846,2.12333181257054
5,2020-01-15,3,0.470039839261608,2.49084665456605,0.900677449466146,1.58452912628449
6,2020-01-16,3,0.570625597496505,2.64787095007711,1.03053304739774,1.73527016268402
7,2020-01-17,3,0.429820964388084,2.27771780555933,0.823611144409135,1.44894917467103
8,2020-01-18,3,0.205841659740218,1.65586510384009,0.478843105781033,0.965011880651494
9,2020-01-19,3,0.204020479511531,1.64121486835184,0.474606550372415,0.956473956114215
10,2020-01-20,3,0.424209405712483,2.24798089607528,0.812858429568176,1.43003231396553
11,2020-01-21,3,0.692007154240543,2.88971612482421,1.19336158094071,1.94036495640442
12,2020-01-22,3,0.327223210287042,2.06425230614995,0.678961178352266,1.26464833235767
13,2020-01-23,3,0.214157751099246,1.72276276439695,0.498188572677004,1.00399877461734
14,2020-01-25,3,0.214661990632284,1.72681905041693,0.499361569554127,1.00636271367948
15,2020-01-26,3,0.125911577494535,1.47036174329442,0.351538377857233,0.797876596595188
16,2020-01-27,3,0.347870902334064,2.19450604300239,0.721803436730585,1.34444728455118
17,2020-01-28,3,0.502035646099369,2.66039961958104,0.961986937065147,1.69238868119594
18,2020-01-29,3,0.517163212934519,2.74056399309936,0.990973965771299,1.74338450805556
19,2020-01-30,3,0.958894255674229,3.67287029309161,1.59319180198118,2.51700201043691
20,2020-01-31,3,1.07238215844678,3.82063677479335,1.727722955284,2.66426701181899
21,2020-02-01,3,0.447825332467588,2.3731269948503,0.858110620765375,1.50964285048186
22,2020-02-02,3,0.113692502422617,1.32767065100808,0.317423374970509,0.720446750778614
23,2020-02-03,3,0.109743392625308,1.28155400247126,0.306397672014907,0.695422028291961
24,2020-02-04,3,0.200359334345689,1.61176328635497,0.466089741267108,0.939310041937239
25,2020-02-05,3,0.214561914427063,1.72601400105929,0.499128765363844,1.0058935437013
26,2020-02-06,3,0.464237597000831,2.4600992699466,0.889559351968642,1.56496946114121
27,2020-02-07,3,0.914531360056411,3.50294627856549,1.51948336,2.40055382358201
28,2020-02-08,3,0.764737107111961,3.19342529355513,1.31878388475437,2.14429731601639
29,2020-02-09,3,0.455224886696501,2.41233889426147,0.872289443651014,1.53458713864189
30,2020-02-10,3,0.543066291639587,2.51998764848149,0.980761751519152,1.65146242365583
31,2020-02-11,3,0.640481117534891,2.67455126965734,1.1045052848087,1.79588766978477
32,2020-02-12,3,0.503203184498628,2.33501108268871,0.908770152367368,1.53023887406908
33,2020-02-14,3,0.378270547630468,2.00454057163826,0.724831649553753,1.27516999681907
34,2020-02-15,3,0.804461673650844,2.86610125882167,1.29607424859235,1.99863517170498
35,2020-02-16,3,1.02250410486919,3.24566105871943,1.56966640316051,2.3285494749277
36,2020-02-17,3,0.745237516635956,2.65509999358714,1.20065776410871,1.85149642401629
37,2020-02-18,3,0.684174673087264,2.43754793549108,1.10227895793126,1.69978957358688
38,2020-02-19,3,0.374786547755748,1.73912004059406,0.676853483048972,1.13972439468049
39,2020-02-20,3,0.440235393997882,1.83835572935684,0.75918291096851,1.23440534660347
40,2020-02-21,3,0.520544217502204,1.99385008450192,0.864878243858177,1.36637677639763
41,2020-02-22,3,0.437411749277886,1.82656462051042,0.754313555057344,1.22648794108181
42,2020-02-23,3,0.694647374063479,2.32643224352021,1.09043039617105,1.64702047150917
43,2020-02-24,3,0.78176441950107,2.48149843250911,1.20010212050356,1.78031278297827
44,2020-02-25,3,0.586988669125414,2.09129784376104,0.945701856517705,1.45833696984244
45,2020-02-26,3,0.48268893535805,1.84885230148141,0.80198212698516,1.2670104273986
46,2020-02-27,3,0.39428687910803,1.64648175294592,0.679945012870463,1.10556724493826
47,2020-02-28,3,0.249860022748,1.32406436601062,0.478774923346382,0.842291334624431
48,2020-02-29,3,0.633975651175262,2.12323756134443,0.995190288318382,1.50316680795312
49,2020-03-01,3,1.26900457409028,3.23779331184473,1.78272097712308,2.45663517061624
50,2020-03-02,3,0.891169419667265,2.58834981691714,1.31901934963011,1.89904962196355
51,2020-03-03,3,0.439943675388828,1.68512434651411,0.730961368070889,1.15480837316528
52,2020-03-04,3,0.28137699590458,1.30567218986398,0.508158579512278,0.855666320615545
53,2020-03-05,3,0.217236863148001,1.15118691783796,0.416263319589108,0.732316940413865
54,2020-03-06,3,0.286202489712288,1.32806390332595,0.51687327941476,0.870340628009867
55,2020-03-07,3,0.302528675489769,1.4038222170704,0.546357890787723,0.919988493745986
56,2020-03-08,3,0.185073262813465,1.16751470421143,0.384011759101994,0.715268922934073
57,2020-03-09,3,0.418512986431832,1.74764627494013,0.721722768430952,1.17349644103565
58,2020-03-10,3,0.896170501142706,2.71385193726547,1.34927739835352,1.97014930308109
59,2020-03-11,3,0.636926136846712,2.26921289401923,1.02615648608353,1.58240351352341
60,2020-03-12,3,0.3615378570866,1.67764221116737,0.652926737334782,1.09943517927609
61,2020-03-13,3,0.865000294735548,2.61945993827067,1.30234742804813,1.90162444051124
62,2020-03-14,3,1.12913064451364,3.05454030177231,1.62381251043798,2.28242653327582
63,2020-03-15,3,0.980367557501346,2.7429902712779,1.4291809846717,2.0318623846224
64,2020-03-16,3,1.1382084643016,2.90407444420969,1.59897619526244,2.2034301546162
