"","dates","Rt","ci1","ci2","ci3","ci4"
"1",2020-01-08,0.330643388514681,0.0681866156979242,0.796265070472158,0.190373377500279,0.432085007185022
"2",2020-01-11,0.773442685577424,0.283839834129577,1.50413101660676,0.54388610604225,0.956839073650856
"3",2020-01-12,1.38600429547508,0.633769421160996,2.42753866328605,1.05300062041783,1.66358167000805
"4",2020-01-13,1.28933195201603,0.556642022797865,2.32445202217465,0.959925342207073,1.56080564728324
"5",2020-01-14,1.22453499633368,0.528667296486483,2.20763384014551,0.91168311896883,1.48236544870006
"6",2020-01-15,1.32797291227539,0.607233777469477,2.32589869949868,1.008911952935,1.59392824563455
"7",2020-01-16,1.42162465402412,0.681724279605046,2.42881777956939,1.09833111057539,1.69370172284335
"8",2020-01-17,1.20603645500675,0.551476664599145,2.11233120519139,0.916272149743463,1.44757137222508
"9",2020-01-18,1.01361614161093,0.437607505595938,1.82738206897948,0.754651135482285,1.2270368352619
"10",2020-01-19,0.875840665886115,0.35213337272692,1.63400263200074,0.635942515160197,1.07083617990351
"11",2020-01-20,0.772111154386165,0.283351185649847,1.50154155858782,0.542949771226248,0.95519181381462
"12",2020-01-21,0.957746517073871,0.385063772910649,1.78680939426914,0.695413849433059,1.17097739532527
"13",2020-01-22,0.877895708796839,0.322172252727339,1.70726311020898,0.617337635318444,1.08605968151358
"14",2020-01-23,0.61303305754012,0.167030875575313,1.34365705405832,0.388558775336095,0.783061988371178
"15",2020-01-24,0.665135540115905,0.181227048485142,1.45785622714667,0.421582894627235,0.849615452500147
"16",2020-01-25,1.13451308334381,0.416346306454154,2.20631256746531,0.797791374409583,1.40352539102628
"17",2020-01-26,1.44465981767747,0.580828173269558,2.69521390861936,1.04895859919359,1.76629615485678
"18",2020-01-27,1.21675358794332,0.446527122201129,2.36624748713833,0.855623025855331,1.50526651510042
"19",2020-01-28,1.35307632910921,0.544006860933015,2.52435216721239,0.982460392001629,1.65432269112014
"20",2020-01-29,1.49905677799576,0.647186316826837,2.70255115722405,1.11606835489913,1.81468882473248
"21",2020-01-30,0.88090522253309,0.286027527953342,1.80437379023977,0.593483534526881,1.10543575413637
"22",2020-01-31,0.852154675207118,0.276692303494908,1.74548353425871,0.574113713563015,1.06935709078854
"23",2020-02-01,1.26029520822394,0.506704038290428,2.35125607607219,0.915092591357813,1.54088495646616
"24",2020-02-02,1.67469408206691,0.765776774630761,2.93316885572873,1.27232932335326,2.01008783803409
"25",2020-02-03,1.39912331461663,0.604042140407742,2.52238766971308,1.04166651921814,1.69371399451065
"26",2020-02-04,0.793851732170362,0.257761496590103,1.62606058202912,0.534833850279569,0.996193535668642
"27",2020-02-05,0.937323557014571,0.343981225641998,1.82283375483632,0.659127391121076,1.15957888118805
"28",2020-02-06,0.828428597713467,0.26898851071454,1.69688498894456,0.558128978802447,1.03958356499257
"29",2020-02-07,0.69989130206516,0.190696823855765,1.53403454108569,0.443612141064719,0.89401096384263
"30",2020-02-08,1.14406513081185,0.419851739525645,2.22488864444773,0.804508389127025,1.41534239107194
"31",2020-02-09,1.84882519866193,0.845400609369829,3.23815349350772,1.40462341104637,2.21909248159201
"32",2020-02-10,2.72575361239659,1.49019486426128,4.32818442706628,2.20563656842482,3.17555105816359
"33",2020-02-11,2.84141026483188,1.68399980211366,4.29663013653059,2.36571390993707,3.26001436531378
"34",2020-02-12,1.64381469732292,0.898688791461986,2.61018939554122,1.33014876753361,1.91507312978263
"35",2020-02-13,1.21982252416097,0.649504119976816,1.96687796799094,0.977895643858801,1.42787570857217
"36",2020-02-14,1.5444933624185,0.915364651444486,2.33550107451007,1.2859211063261,1.77203222320098
"37",2020-02-15,1.20383600194737,0.67377787179295,1.8851767719046,0.982234178284432,1.39643943010135
"38",2020-02-16,1.03680073358503,0.566828608948367,1.64632077113091,0.838962700724143,1.20789115042057
"39",2020-02-17,1.22878204940477,0.715810825814042,1.87808476691825,1.01685616623115,1.41457313554776
"40",2020-02-18,1.21004789931904,0.704897493014066,1.84945127417296,1.00135306212655,1.39300639355195
"41",2020-02-19,1.16259785317868,0.677256092548377,1.77692807212183,0.96208664215472,1.33838192977241
"42",2020-02-20,1.12322865089243,0.654322081416124,1.7167557257441,0.929507377081823,1.29306012844153
"43",2020-02-21,1.09537379105537,0.638095599077325,1.67418203420135,0.906456596027089,1.26099363101911
"44",2020-02-22,1.13986739250094,0.675557657817138,1.7236471096362,0.949035828897709,1.30779568163688
"45",2020-02-23,0.87191089982093,0.476681802455423,1.38449460774125,0.705536463863423,1.01579158437445
"46",2020-02-24,0.933776582942342,0.522627665036795,1.46227054305053,0.761887228130692,1.08317282189322
"47",2020-02-25,1.22459243593428,0.737284642247974,1.83352168646771,1.0252598961166,1.40060848749443
"48",2020-02-26,1.35927071295367,0.841409994983144,1.99931749779767,1.14922811168432,1.54588727431349
"49",2020-02-27,1.41537712035418,0.897227681842536,2.0497284927063,1.20675391770253,1.60172056028875
"50",2020-02-28,0.913851343459686,0.522345002607059,1.41305514082463,0.751188849686607,1.05586904338063
"51",2020-02-29,1.2038345105917,0.754436678585447,1.75654397608802,1.02225060039916,1.36561059144744
"52",2020-03-01,1.09469309887366,0.668666984119831,1.62402393212528,0.92119231395608,1.24838838266957
"53",2020-03-02,2.55328270205642,1.88258910535359,3.32458878471816,2.29600446068146,2.79126535165712
"54",2020-03-03,3.64882215853944,2.88424249979665,4.50193495315285,3.36231788053303,3.91834593726816
"55",2020-03-04,2.50320653854214,1.97224204149514,3.09650434749023,2.30402113313309,2.6904365691243
