decile,dt,wieghted_median,wieghted_mean,wieghted_25q,wieghted_high_75q,wieghted_sd
4,2020-04-03,0.49245187520647,0.488440238088969,0.465903153425767,0.507822138675705,0.0336917234540516
10,2020-04-03,0.611424131267191,0.604774476794085,0.570330710760597,0.640855638569275,0.053826700134284
9,2020-03-10,0.288213937987122,0.289616375315372,0.271805360002199,0.309417277619037,0.027954410877003
6,2020-03-10,0.280589383676412,0.280988064742942,0.266801064745885,0.297323114418605,0.0290772541642751
2,2020-03-10,0.285712481695057,0.287719739658169,0.271063106120413,0.303564582296807,0.0299043042217623
3,2020-03-10,0.284472894897387,0.285989454761221,0.268850841137537,0.301459510464465,0.0285473646723188
8,2020-03-10,0.279720148637968,0.28066250261715,0.263249619177978,0.296996381818224,0.0273716133509109
7,2020-03-04,0.289433011582412,0.291299802240259,0.272616895053488,0.30871076260376,0.0300049092817406
9,2020-03-04,0.289671516697639,0.292499984461013,0.272040760200704,0.312384597205863,0.030203562525131
3,2020-03-04,0.296156932396451,0.296338412993506,0.27267208702001,0.316287167567299,0.032341325434179
10,2020-03-04,0.303231404267935,0.305295091187813,0.282347635295954,0.327665361197603,0.0375098569643891
1,2020-03-04,0.310763508109035,0.309841194754334,0.288519509439771,0.33031758533544,0.0364340491348671
4,2020-03-12,0.280816389460769,0.28267341602966,0.264040065932722,0.30088194203047,0.0326455699011845
2,2020-03-12,0.293530617121746,0.291165959455603,0.27242017538145,0.30762484098859,0.0337333081467397
5,2020-03-12,0.280802551618517,0.279720613903506,0.260921748904288,0.298382440483323,0.0308994733176818
1,2020-03-12,0.299929914932461,0.297983716390488,0.27471352906586,0.318068641378454,0.0403673677452939
9,2020-03-12,0.286543782499023,0.285079316684487,0.264144349873037,0.304676709057968,0.0333279097941622
8,2020-03-12,0.280911891235946,0.281316747045788,0.259327812838815,0.300453204504664,0.032472458802146
7,2020-03-12,0.284412863761878,0.283224315178291,0.264867245731574,0.301234681663078,0.0298566616736391
10,2020-03-12,0.303567674372329,0.300876459244622,0.283090771324893,0.31926652985285,0.0322632002833
4,2020-04-22,0.443872696241084,0.441760954070104,0.419816286589014,0.464731785582523,0.0330239197393551
1,2020-04-22,0.430854197125064,0.430453537484685,0.407945813324335,0.45161696628695,0.0401700525612988
7,2020-04-22,0.467439303188217,0.46443799157135,0.444351698977102,0.485805507814582,0.0327854880501335
9,2020-04-22,0.510487170694128,0.510746704031604,0.483264032418015,0.546401105504849,0.0437520795846479
2,2020-04-22,0.429875063832619,0.431991687392503,0.414245930919534,0.449843730214283,0.0303742691679847
6,2020-04-22,0.455970406481846,0.455520060996322,0.434404915452189,0.477482799834186,0.0348763789376832
5,2020-04-22,0.442649085154365,0.4438223610829,0.422999950985873,0.463154250573424,0.0315192758909208
5,2020-03-13,0.286703853987868,0.289133444921624,0.268942923227843,0.308316475398952,0.0289951708447408
3,2020-03-13,0.290990950331647,0.289678189854758,0.270549154656865,0.305884449216235,0.029405247232253
1,2020-03-13,0.29842291479922,0.30097551565546,0.280257920663189,0.323135370687739,0.0380609343639361
4,2020-03-13,0.29049250572723,0.290764261070712,0.27621786678608,0.308230489731467,0.0271788731062645
