decile,dt,dist
1,2020-03-01,0.429271725225261
1,2020-03-02,0.289822047606053
1,2020-03-03,0.297832769118456
1,2020-03-04,0.311758782435896
1,2020-03-05,0.296059016013545
1,2020-03-06,0.276364471124268
1,2020-03-07,0.310142269761778
1,2020-03-08,0.416622024842707
1,2020-03-09,0.295299232535769
1,2020-03-10,0.291879488506282
1,2020-03-11,0.284601116253006
1,2020-03-12,0.297042089992502
1,2020-03-13,0.300904854754143
1,2020-03-14,0.355570022336438
1,2020-03-15,0.424804209468342
1,2020-03-16,0.332534263356336
1,2020-03-17,0.339117831034094
1,2020-03-18,0.356489513232679
1,2020-03-19,0.376191545503988
1,2020-03-20,0.385696118626579
1,2020-03-21,0.500682172886983
1,2020-03-22,0.602105292290119
1,2020-03-23,0.493310667417339
1,2020-03-24,0.524439373608894
1,2020-03-25,0.518409658657649
1,2020-03-26,0.521669706269289
1,2020-03-27,0.500884720369896
1,2020-03-28,0.536706463327042
1,2020-03-29,0.607327584518294
1,2020-03-30,0.490419655228204
1,2020-03-31,0.481859646931018
1,2020-04-01,0.459585515563985
1,2020-04-02,0.48505480273015
1,2020-04-03,0.481180379945122
1,2020-04-04,0.501463554395988
1,2020-04-05,0.562422418320726
1,2020-04-06,0.475207513244551
1,2020-04-07,0.461666869277151
1,2020-04-08,0.454359619956276
1,2020-04-09,0.441967451377671
1,2020-04-10,0.531843539980135
1,2020-04-11,0.48933920944162
1,2020-04-12,0.542854819295772
1,2020-04-13,0.462290692603906
1,2020-04-14,0.462567844192515
1,2020-04-15,0.458465437866318
1,2020-04-16,0.426807244156328
1,2020-04-17,0.428179940496596
1,2020-04-18,0.4693012260714
1,2020-04-19,0.543812399675563
1,2020-04-20,0.466298238010057
1,2020-04-21,0.513955115835647
1,2020-04-22,0.426115715009082
1,2020-04-23,0.437139970144354
1,2020-04-24,0.414007242505124
1,2020-04-25,0.457472236712229
1,2020-04-26,0.531667244948117
1,2020-04-27,0.440423559537699
1,2020-04-28,0.435693903003697
1,2020-04-29,0.425665263842981
1,2020-04-30,0.410818918277444
1,2020-05-01,0.492722020723512
1,2020-05-02,0.459026628113082
1,2020-05-03,0.515672998354411
1,2020-05-04,0.43861674386686
1,2020-05-05,0.427011773032631
1,2020-05-06,0.423264150894012
1,2020-05-07,0.445114399301747
1,2020-05-08,0.412862813597982
1,2020-05-09,0.427750565061865
1,2020-05-10,0.485255076149471
1,2020-05-11,0.440201404609065
1,2020-05-12,0.434874601077575
1,2020-05-13,0.435749113591905
1,2020-05-14,0.435978545646718
1,2020-05-15,0.432930780356225
1,2020-05-16,0.464107988224582
1,2020-05-17,0.528784661017016
1,2020-05-18,0.425620312424815
1,2020-05-19,0.418386625706942
1,2020-05-20,0.427196937170815
1,2020-05-21,0.426168179925885
1,2020-05-22,0.411777589200896
1,2020-05-23,0.461102137404295
1,2020-05-24,0.544082075412257
1,2020-05-25,0.475736102322544
1,2020-05-26,0.411268082644854
1,2020-05-27,0.403285989058412
1,2020-05-28,0.413422911247223
1,2020-05-29,0.393015068778073
1,2020-05-30,0.425328639791586
1,2020-05-31,0.497495948268909
1,2020-06-01,0.408284130990372
1,2020-06-02,0.423279893191611
1,2020-06-03,0.400003530566506
1,2020-06-04,0.396937355415154
1,2020-06-05,0.398648191981788
1,2020-06-06,0.407570485756883
1,2020-06-07,0.47704737947481
1,2020-06-08,0.37982238294613
1,2020-06-09,0.377574981392883
1,2020-06-10,0.399860022624341
1,2020-06-11,0.398358472291563
1,2020-06-12,0.369511612116852
1,2020-06-13,0.388659146510088
1,2020-06-14,0.510312940971056
1,2020-06-15,0.392628902933262
1,2020-06-16,0.390739377298414
1,2020-06-17,0.372102888939978
1,2020-06-18,0.377698261289873
1,2020-06-19,0.333697158986748
1,2020-06-20,0.386531592226048
1,2020-06-21,0.469469198561059
1,2020-06-22,0.375454841353243
1,2020-06-23,0.374565496014887
1,2020-06-24,0.374617039606838
1,2020-06-25,0.367184149763171
1,2020-06-26,0.374928735222179
1,2020-06-27,0.46796928329107
1,2020-06-28,0.517634282212039
1,2020-06-29,0.400687298321446
1,2020-06-30,0.379043489076027
1,2020-07-01,0.381341569494439
1,2020-07-02,0.383606896750739
1,2020-07-03,0.36805964280816
1,2020-07-04,0.400908233583476
1,2020-07-05,0.479821844933546
1,2020-07-06,0.38974617179047
1,2020-07-07,0.379774594935712
1,2020-07-08,0.371592510132693
1,2020-07-09,0.378912690958125
1,2020-07-10,0.370146037967443
1,2020-07-11,0.40368376902887
1,2020-07-12,0.470090017493626
1,2020-07-13,0.394559426549855
1,2020-07-14,0.409533094297367
1,2020-07-15,0.391584410398195
1,2020-07-16,0.386300343194112
1,2020-07-17,0.343411035159972
1,2020-07-18,0.377744060129648
1,2020-07-19,0.466188771829964
1,2020-07-20,0.378130776404214
1,2020-07-21,0.377822983399037
1,2020-07-22,0.366027470223104
1,2020-07-23,0.368446320477396
1,2020-07-24,0.361225846701712
1,2020-07-25,0.39689548685997
1,2020-07-26,0.478230287287003
1,2020-07-27,0.37989728692916
1,2020-07-28,0.381371251504134
1,2020-07-29,0.385544697701742
1,2020-07-30,0.393189071317386
1,2020-07-31,0.365718206189429
1,2020-08-01,0.393984193977904
1,2020-08-02,0.46306304996193
1,2020-08-03,0.378074123828281
1,2020-08-04,0.36599910442137
1,2020-08-05,0.351485056127409
1,2020-08-06,0.357935099929069
1,2020-08-07,0.332049690109391
1,2020-08-08,0.37164681879313
1,2020-08-09,0.434901595243664
1,2020-08-10,0.364023199837998
2,2020-03-01,0.425063310969497
2,2020-03-02,0.27906314378177
2,2020-03-03,0.295605661298106
2,2020-03-04,0.302586513392529
2,2020-03-05,0.289914859601845
2,2020-03-06,0.27297990360793
2,2020-03-07,0.31845845908967
2,2020-03-08,0.410752643610044
2,2020-03-09,0.292478791162056
2,2020-03-10,0.290050653699942
2,2020-03-11,0.281421009844426
2,2020-03-12,0.297170554802703
2,2020-03-13,0.289647496994871
2,2020-03-14,0.347133053333046
2,2020-03-15,0.425743933459008
2,2020-03-16,0.325210342562863
2,2020-03-17,0.333959986824562
2,2020-03-18,0.348135827860868
2,2020-03-19,0.372345602702433
2,2020-03-20,0.383059396236064
2,2020-03-21,0.509395696596414
2,2020-03-22,0.598616071343105
2,2020-03-23,0.499714269787601
2,2020-03-24,0.518425908395048
2,2020-03-25,0.517422135635887
2,2020-03-26,0.525352716852601
2,2020-03-27,0.500455043660254
2,2020-03-28,0.533706337409187
2,2020-03-29,0.613589304362758
2,2020-03-30,0.490541177539306
2,2020-03-31,0.482947261957205
2,2020-04-01,0.460073293299773
2,2020-04-02,0.487679817541461
2,2020-04-03,0.483673350653771
