state_name,city_name,isolated,dt,iso7
Amazonas,Manaus,0.348280331496053,2020-02-01,0.317612119333606
São Paulo,São Paulo,0.32470589966378,2020-02-01,0.28873961216808
Amazonas,Manaus,0.411242563729845,2020-02-02,0.31199334960481
São Paulo,São Paulo,0.392657148622742,2020-02-02,0.282992617502731
Amazonas,Manaus,0.295951586262671,2020-02-03,0.311021251595335
São Paulo,São Paulo,0.272227197460842,2020-02-03,0.27955407019196
Amazonas,Manaus,0.307075313526926,2020-02-04,0.30505463826048
São Paulo,São Paulo,0.272223745406342,2020-02-04,0.279266530011563
Amazonas,Manaus,0.30349715814109,2020-02-05,0.300408292637876
São Paulo,São Paulo,0.267089121942829,2020-02-05,0.276163371732982
Amazonas,Manaus,0.293555718965171,2020-02-06,0.296129400518802
São Paulo,São Paulo,0.260675996725828,2020-02-06,0.273019304806116
Amazonas,Manaus,0.263682163213485,2020-02-07,0.296044141407047
São Paulo,São Paulo,0.231598175354198,2020-02-07,0.271583715698731
Amazonas,Manaus,0.308948943394481,2020-02-08,0.299038584331211
São Paulo,São Paulo,0.284476937006338,2020-02-08,0.273211506107605
Amazonas,Manaus,0.404437877663522,2020-02-09,0.306579589636235
São Paulo,São Paulo,0.368587317447341,2020-02-09,0.279091768433341
Amazonas,Manaus,0.254185292918685,2020-02-10,0.309076679373882
São Paulo,São Paulo,0.270214416198067,2020-02-10,0.283506323701699
Amazonas,Manaus,0.274550894168699,2020-02-11,0.312138708504655
São Paulo,São Paulo,0.250501637456273,2020-02-11,0.280165299312629
Amazonas,Manaus,0.273544913307572,2020-02-12,0.316683391954198
São Paulo,São Paulo,0.245080653454767,2020-02-12,0.28284510424997
Amazonas,Manaus,0.292958905182883,2020-02-13,0.324559441986359
São Paulo,São Paulo,0.25062687297413,2020-02-13,0.287917587653486
Amazonas,Manaus,0.284643263682634,2020-02-14,0.324142267904854
São Paulo,São Paulo,0.242992708216321,2020-02-14,0.287770560464621
Amazonas,Manaus,0.361735980529649,2020-02-15,0.324059401267178
São Paulo,São Paulo,0.325638773286484,2020-02-15,0.288669744492297
Amazonas,Manaus,0.421917505827052,2020-02-16,0.322959979304022
São Paulo,São Paulo,0.399489204325848,2020-02-16,0.290686961758091
Amazonas,Manaus,0.275619496834096,2020-02-17,0.325351232818505
São Paulo,São Paulo,0.246827245474581,2020-02-17,0.293897637681098
Amazonas,Manaus,0.306363678315501,2020-02-18,0.340925363963619
São Paulo,São Paulo,0.269260272017655,2020-02-18,0.312285090700643
Amazonas,Manaus,0.3286772635327,2020-02-19,0.364099160313798
São Paulo,São Paulo,0.280588037279382,2020-02-19,0.335706644464108
Amazonas,Manaus,0.290038686612345,2020-02-20,0.375076868478558
São Paulo,São Paulo,0.249597682652076,2020-02-20,0.345127726586983
Amazonas,Manaus,0.284063197218907,2020-02-21,0.377309132051837
São Paulo,São Paulo,0.249286996410052,2020-02-21,0.348725364300342
Amazonas,Manaus,0.354040026787554,2020-02-22,0.378928092032651
São Paulo,São Paulo,0.339759294147039,2020-02-22,0.350970922887613
Amazonas,Manaus,0.438656280428432,2020-02-23,0.376700061588696
São Paulo,São Paulo,0.421963935786902,2020-02-23,0.348634531754656
Amazonas,Manaus,0.384638414849895,2020-02-24,0.376887776829903
São Paulo,São Paulo,0.375539416611395,2020-02-24,0.348572916310839
Amazonas,Manaus,0.468580252766753,2020-02-25,0.366996817512246
São Paulo,São Paulo,0.433211148361908,2020-02-25,0.334626748213291
Amazonas,Manaus,0.405521220686017,2020-02-26,0.346390005343689
São Paulo,São Paulo,0.346535612139509,2020-02-26,0.314238685964876
Amazonas,Manaus,0.3056645316253,2020-02-27,0.338539716571931
São Paulo,São Paulo,0.274781146645591,2020-02-27,0.307260680749071
Amazonas,Manaus,0.295395917084605,2020-02-28,0.345482248331153
São Paulo,São Paulo,0.265005906520948,2020-02-28,0.309756663939223
Amazonas,Manaus,0.338443813679868,2020-02-29,0.350391537977287
São Paulo,São Paulo,0.323404556216336,2020-02-29,0.310477956995263
Amazonas,Manaus,0.439970287116882,2020-03-01,0.352179269993485
São Paulo,São Paulo,0.421532627680188,2020-03-01,0.309724638122684
Amazonas,Manaus,0.315401699626295,2020-03-02,0.351962249218921
São Paulo,São Paulo,0.27791623992856,2020-03-02,0.309085646012226
Amazonas,Manaus,0.32433256758686,2020-03-03,0.355748539228869
São Paulo,São Paulo,0.290494712623004,2020-03-03,0.311007919115069
Amazonas,Manaus,0.350569199283704,2020-03-04,0.359011368040817
São Paulo,São Paulo,0.297689575628868,2020-03-04,0.3110921869897
Amazonas,Manaus,0.354262253939858,2020-03-05,0.356254078240375
São Paulo,São Paulo,0.292253028976658,2020-03-05,0.308377802703604
Amazonas,Manaus,0.329760944607543,2020-03-06,0.355020974105815
São Paulo,São Paulo,0.270054957913225,2020-03-06,0.308338986163503
Amazonas,Manaus,0.350957937793254,2020-03-07,0.357220184363846
São Paulo,São Paulo,0.318131324108286,2020-03-07,0.312325925333519
Amazonas,Manaus,0.438451141694933,2020-03-08,0.36907282665247
São Paulo,São Paulo,0.41705968290698,2020-03-08,0.318745707623503
Amazonas,Manaus,0.341905729695927,2020-03-09,0.371223922334076
São Paulo,São Paulo,0.29137215164846,2020-03-09,0.3207034000411
Amazonas,Manaus,0.347172369270497,2020-03-10,0.373229390360823
São Paulo,São Paulo,0.291084587745424,2020-03-10,0.32699661961634
Amazonas,Manaus,0.331268170680615,2020-03-11,0.376547326495206
São Paulo,São Paulo,0.278688885626193,2020-03-11,0.334508990246026
